Name,AXA Category,Organiser,Length (Hours),Avg. User Rating,Total Enrollments,Total Ratings,Difficulty,Public URL,AXA URL
Essential Cloud Infrastructure: Foundation,Data Engineering And Cloud,Google Cloud,11,4.726249195796697,58728,9326,Intermediate,https://www.coursera.org/learn/gcp-infrastructure-foundation,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=sK6edjzPEees8grTZvuQjA&productType=course&showMiniModal=true
Essential Cloud Infrastructure: Core Services,Data Engineering And Cloud,Google Cloud,13,4.692201834862385,48728,6540,Intermediate,https://www.coursera.org/learn/gcp-infrastructure-core-services,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=9xG8yUo7EeeJdBL3H0RODg&productType=course&showMiniModal=true
Elastic Cloud Infrastructure: Scaling and Automation,Data Engineering And Cloud,Google Cloud,13,4.676238196184236,40583,5189,Intermediate,https://www.coursera.org/learn/gcp-infrastructure-scaling-automation,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=G4Fvqko8Eee4pw7hxA2o1A&productType=course&showMiniModal=true
Google Cloud Platform Big Data and Machine Learning Fundamentals,Data Engineering And Cloud,Google Cloud,14,4.632839773684844,90278,8307,Intermediate,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=qu0f3u1nEea3iQqSVF8Nwg&productType=course&showMiniModal=true
Google Cloud Platform Fundamentals: Core Infrastructure,Data Engineering And Cloud,Google Cloud,14,4.720300889826621,208961,21802,Intermediate,https://www.coursera.org/learn/gcp-fundamentals,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=h9LqVq-lEeauxBIk_RF-8A&productType=course&showMiniModal=true
Google Cloud Platform Fundamentals: Core Infrastructure,Data Engineering And Cloud,Google Cloud,14,4.720300889826621,208961,21802,Intermediate,https://www.coursera.org/learn/gcp-fundamentals,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=h9LqVq-lEeauxBIk_RF-8A&productType=course&showMiniModal=true
Reliable Cloud Infrastructure: Design and Process,Data Engineering And Cloud,Google Cloud,12,4.72860507720492,34292,3821,Intermediate,https://www.coursera.org/learn/cloud-infrastructure-design-process,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=Hdkvqa-VEeemsBI74hnnzA&productType=course&showMiniModal=true
Networking in GCP: Defining and Implementing Networks,Data Engineering And Cloud,Google Cloud,18,4.853587115666179,6497,683,Intermediate,https://www.coursera.org/learn/networking-gcp-defining-implementing-networks,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=dEWOXIntEeixGA4Edp1TqA&productType=course&showMiniModal=true
Networking in GCP: Hybrid Connectivity and Network Management,Data Engineering And Cloud,Google Cloud,17,4.837777777777778,4207,450,Intermediate,https://www.coursera.org/learn/networking-gcp-hybrid-connectivity-network-management,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=UcnQ8LXsEeicHA7pKRXCQg&productType=course&showMiniModal=true
Cloud Computing Project,Data Engineering And Cloud,University of Illinois at Urbana-Champaign,17,4.192307692307692,485,26,Mixed,https://www.coursera.org/learn/cloud-computing-project,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=qatgn&currentTab=CATALOG&productId=CQsoVOSeEeWpUQ6vdoq9ZQ&productType=course&showMiniModal=true
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization","Data Science, Korean Selection, Chinese Selection",deeplearning.ai,15,4.878306878306878,224808,42147,Beginner,https://www.coursera.org/learn/deep-neural-network,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=BZ5quSvBEee6gA5XksfBbg&productType=course&showMiniModal=true
The Data Scientist’s Toolbox,"Data Science, French Selection, Greek Selection, Italian Selection, Portuguese Selection, Turkish Selection, Chinese Selection",Johns Hopkins University,8,4.546524014635728,357307,21591,Mixed,https://www.coursera.org/learn/data-scientists-tools,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=iSxVEG07EeW3YxLB1q9I2w&productType=course&showMiniModal=true
Building R Packages,"Data Science, Design Product and Software",Johns Hopkins University,13,4.181318681318682,6885,182,Intermediate,https://www.coursera.org/learn/r-packages,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=b4OfB0R4EeaL3g5tgt_P6Q&productType=course&showMiniModal=true
The R Programming Environment,"Data Science, Design Product and Software",Johns Hopkins University,16,4.401756311745335,34725,911,Intermediate,https://www.coursera.org/learn/r-programming-environment,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=A97cQkR4EeawVwo82dylKw&productType=course&showMiniModal=true
Introducción a Data Science: Programación Estadística con R,"Data Science, Spanish Selection",Universidad Nacional Autónoma de México,14,4.720936213991769,119738,3888,Beginner,https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=7_wUMCBSEeW5Rwo0txKkgQ&productType=course&showMiniModal=true
Statistical Inference,Data Science,Johns Hopkins University,16,4.210159084566006,92039,3583,Mixed,https://www.coursera.org/learn/statistical-inference,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=YfjiOHROEeWLqw7zlLhRzQ&productType=course&showMiniModal=true
Neural Networks and Deep Learning,"Data Science, Japanese Selection, Korean Selection, Portuguese Selection, Turkish Selection, Chinese Selection",deeplearning.ai,18,4.892283197428725,492677,67204,Intermediate,https://www.coursera.org/learn/neural-networks-deep-learning,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=W_mOXCrdEeeNPQ68_4aPpA&productType=course&showMiniModal=true
Graph Analytics for Big Data,Data Science,University of California San Diego,15,4.256207674943567,25098,886,Mixed,https://www.coursera.org/learn/big-data-graph-analytics,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=zHCX4hJgEeaX4g6xdats6w&productType=course&showMiniModal=true
Applied Text Mining in Python,Data Science,University of Michigan,17,4.24504186866461,65848,2269,Intermediate,https://www.coursera.org/learn/python-text-mining,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=Bkx-PB00Eea0YQ7Ij7lJXw&productType=course&showMiniModal=true
Exploratory Data Analysis,"Data Science, Chinese Selection",Johns Hopkins University,15,4.67214087851207,101734,5054,Mixed,https://www.coursera.org/learn/exploratory-data-analysis,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=hwiBZm0vEeWbyw5d8C-Blw&productType=course&showMiniModal=true
Python Data Structures,"Data Science, Design Product and Software, Chinese Selection",University of Michigan,11,4.869275624591565,322668,39786,Mixed,https://www.coursera.org/learn/python-data,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=P--h6zpNEeWYbg7p2_3OHQ&productType=course&showMiniModal=true
Advanced R Programming,"Data Science, Design Product and Software, Chinese Selection",Johns Hopkins University,12,4.320454545454545,19382,440,Intermediate,https://www.coursera.org/learn/advanced-r,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=Pv40_UR4Eeawjgp7XHTShQ&productType=course&showMiniModal=true
Big Data - Capstone Project,Data Science,University of California San Diego,19,4.442857142857143,2908,280,Mixed,https://www.coursera.org/learn/big-data-project,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=djn5oBJgEeaoZBKRisF_Dw&productType=course&showMiniModal=true
Machine Learning: Regression,Data Science,University of Washington,35,4.76336721166593,97930,4526,Mixed,https://www.coursera.org/learn/ml-regression,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=mxdq5kIJEeWC4g7VhG4bTQ&productType=course&showMiniModal=true
Building a Data Science Team,Data Science,Johns Hopkins University,4,4.479278587874137,28861,2606,Mixed,https://www.coursera.org/learn/build-data-science-team,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=8LAp90EaEeWZtA4u62x6lQ&productType=course&showMiniModal=true
Applied Social Network Analysis in Python,"Data Science, Korean Selection",University of Michigan,16,4.642112125162972,37400,1534,Intermediate,https://www.coursera.org/learn/python-social-network-analysis,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=ZIVvfx00EeagBBLYvz0q6w&productType=course&showMiniModal=true
Using Python to Access Web Data,"Data Science, Design Product and Software",University of Michigan,16,4.792958820538892,251464,23604,Mixed,https://www.coursera.org/learn/python-network-data,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=Y4DUPDpQEeWO-Qq6rEZAow&productType=course&showMiniModal=true
Practical Machine Learning,Data Science,Johns Hopkins University,14,4.496366279069767,102304,2752,Mixed,https://www.coursera.org/learn/practical-machine-learning,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=H02KsW1DEeWXrA6ju0fvnQ&productType=course&showMiniModal=true
Data Visualization and Communication with Tableau,Data Science,Duke University,26,4.682464454976303,122097,2110,Mixed,https://www.coursera.org/learn/analytics-tableau,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=QoJxNRnoEeW9dA4X94-nLQ&productType=course&showMiniModal=true
Big Data Modeling and Management Systems,Data Science,University of California San Diego,16,4.35656836461126,42482,2238,Mixed,https://www.coursera.org/learn/big-data-management,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=cvqIZNmpEeW6jg7jFY56EQ&productType=course&showMiniModal=true
Machine Learning: Classification,Data Science,University of Washington,41,4.692099016615802,77091,2949,Mixed,https://www.coursera.org/learn/ml-classification,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=3c1bSkIJEeWpogr5ZO8qxQ&productType=course&showMiniModal=true
Data Science Capstone,Data Science,Johns Hopkins University,9,4.515508021390374,10079,935,Mixed,https://www.coursera.org/learn/data-science-project,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=2y_2_3REEeWKsgrp3VnvAw&productType=course&showMiniModal=true
Developing Data Products,Data Science,Johns Hopkins University,14,4.557522123893805,46248,1921,Mixed,https://www.coursera.org/learn/data-products,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=3Vo3Am1LEeWMPAqsmzmVew&productType=course&showMiniModal=true
Getting and Cleaning Data,"Data Science, French Selection, Chinese Selection",Johns Hopkins University,15,4.568536292741452,125182,6668,Mixed,https://www.coursera.org/learn/data-cleaning,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=HkJsxW0yEeWEewoyD2Bc5Q&productType=course&showMiniModal=true
Machine Learning: Clustering & Retrieval,Data Science,University of Washington,46,4.636313768513439,57339,1823,Mixed,https://www.coursera.org/learn/ml-clustering-and-retrieval,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=-N44X0IJEeWpogr5ZO8qxQ&productType=course&showMiniModal=true
Mastering Software Development in R Capstone,"Data Science, Design Product and Software",Johns Hopkins University,9,4.111111111111111,448,36,Intermediate,https://www.coursera.org/learn/r-capstone,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=zLUyvUR4EeaDRhLb8lAaNw&productType=course&showMiniModal=true
Machine Learning With Big Data,Data Science,University of California San Diego,16,4.572314049586777,36712,1452,Mixed,https://www.coursera.org/learn/big-data-machine-learning,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=loAmvxJgEea8fxLSgUgxeQ&productType=course&showMiniModal=true
Structuring Machine Learning Projects,"Data Science, Korean Selection, Chinese Selection",deeplearning.ai,7,4.780414573589699,180442,34638,Beginner,https://www.coursera.org/learn/machine-learning-projects,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=-7ZymCvBEee6gA5XksfBbg&productType=course&showMiniModal=true
R Programming,"Data Science, French Selection, Japanese Selection, Chinese Selection",Johns Hopkins University,20,4.564851171627613,436704,15790,Intermediate,https://www.coursera.org/learn/r-programming,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=RMFRum1BEeWXrA6ju0fvnQ&productType=course&showMiniModal=true
Reproducible Research,Data Science,Johns Hopkins University,11,4.539709649871904,53914,3513,Mixed,https://www.coursera.org/learn/reproducible-research,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=-4ffSHNYEeWIfhKr_WcYsQ&productType=course&showMiniModal=true
Regression Models,Data Science,Johns Hopkins University,17,4.426803394625177,87099,2828,Mixed,https://www.coursera.org/learn/regression-models,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=a_xPWXNVEeWxvQr3acyajw&productType=course&showMiniModal=true
"Applied Plotting, Charting & Data Representation in Python","Data Science, Korean Selection",University of Michigan,17,4.496062992125984,82204,3683,Intermediate,https://www.coursera.org/learn/python-plotting,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=IIoidx0zEeaeiw6Wrvtw9w&productType=course&showMiniModal=true
Hadoop Platform and Application Framework,Data Science,University of California San Diego,19,3.932478055367995,125481,2962,Mixed,https://www.coursera.org/learn/hadoop,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=3j8WjTxDEeW0tw4knrMo3Q&productType=course&showMiniModal=true
Convolutional Neural Networks,"Data Science, Korean Selection, Chinese Selection",deeplearning.ai,21,4.852841010933859,199509,27895,Intermediate,https://www.coursera.org/learn/convolutional-neural-networks,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=kWGvJivBEeeW5RJUyz1uFA&productType=course&showMiniModal=true
"Capstone: Retrieving, Processing, and Visualizing Data with Python","Data Science, Design Product and Software",University of Michigan,10,4.596142938173568,59105,5289,Mixed,https://www.coursera.org/learn/python-data-visualization,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=rwRs6Tn9EeWJaxK5AT4frw&productType=course&showMiniModal=true
Data Science in Real Life,Data Science,Johns Hopkins University,6,4.418590522478737,28629,1646,Mixed,https://www.coursera.org/learn/real-life-data-science,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=MMnLaEEjEeWKOBLv1z6n9w&productType=course&showMiniModal=true
Data Analysis Tools,Data Science,Wesleyan University,13,4.519886363636363,33388,352,Mixed,https://www.coursera.org/learn/data-analysis-tools,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=ENhHCTboEeW8ZAoCexam_w&productType=course&showMiniModal=true
Big Data Integration and Processing,Data Science,University of California San Diego,19,4.400623052959501,32582,1605,Beginner,https://www.coursera.org/learn/big-data-integration-processing,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=uWrCG9mpEeWkdgqomU4otw&productType=course&showMiniModal=true
Building Data Visualization Tools,"Data Science, Design Product and Software, Chinese Selection",Johns Hopkins University,9,3.984848484848485,8148,132,Intermediate,https://www.coursera.org/learn/r-data-visualization,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=q4jrAUR4Eea5xg7_DSTNnw&productType=course&showMiniModal=true
Introduction to Big Data,"Data Science, Korean Selection",University of California San Diego,16,4.555944055944056,136084,5720,Mixed,https://www.coursera.org/learn/big-data-introduction,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=6nKPTBHoEea7axIlQHzY1Q&productType=course&showMiniModal=true
Introduction to Data Science in Python,"Data Science, Korean Selection, Chinese Selection",University of Michigan,18,4.545381172499817,306913,13629,Intermediate,https://www.coursera.org/learn/python-data-analysis,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=RZ1S0B0MEeacvQ6cODzg5Q&productType=course&showMiniModal=true
Machine Learning Foundations: A Case Study Approach,"Data Science, Korean Selection, Chinese Selection",University of Washington,24,4.642477492135806,207637,9219,Mixed,https://www.coursera.org/learn/ml-foundations,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=qi9mnkIJEeWC4g7VhG4bTQ&productType=course&showMiniModal=true
Managing Data Analysis,"Data Science, Japanese Selection",Johns Hopkins University,7,4.549474605954466,39493,2284,Mixed,https://www.coursera.org/learn/managing-data-analysis,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=X1RtV0EiEeWC4g7VhG4bTQ&productType=course&showMiniModal=true
Sequence Models,Data Science,deeplearning.ai,18,4.799777530589544,159314,18879,Intermediate,https://www.coursera.org/learn/nlp-sequence-models,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=25Fh8ivBEee6gA5XksfBbg&productType=course&showMiniModal=true
Regression Modeling in Practice,Data Science,Wesleyan University,15,4.351239669421488,27414,242,Mixed,https://www.coursera.org/learn/regression-modeling-practice,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=XUoQOTbqEeWoUw6Yc8vnEw&productType=course&showMiniModal=true
Data Management and Visualization,"Data Science, Korean Selection",Wesleyan University,17,4.420757363253857,49158,713,Mixed,https://www.coursera.org/learn/data-visualization,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=6JyoHjVOEeWBMQ5pdIoFkQ&productType=course&showMiniModal=true
Applied Machine Learning in Python,"Data Science, Korean Selection",University of Michigan,24,4.648577101257446,127945,4533,Intermediate,https://www.coursera.org/learn/python-machine-learning,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=di4l_R0lEeaP7xL2JHHq4w&productType=course&showMiniModal=true
Using Databases with Python,"Data Science, Design Product and Software",University of Michigan,13,4.780403057678944,187021,14390,Mixed,https://www.coursera.org/learn/python-databases,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=eQJvsjn9EeWJaxK5AT4frw&productType=course&showMiniModal=true
Using Databases with Python,"Data Science, Design Product and Software",University of Michigan,13,4.780403057678944,187021,14390,Mixed,https://www.coursera.org/learn/python-databases,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=eQJvsjn9EeWJaxK5AT4frw&productType=course&showMiniModal=true
Using Databases with Python,"Data Science, Design Product and Software",University of Michigan,13,4.780403057678944,187021,14390,Mixed,https://www.coursera.org/learn/python-databases,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=eQJvsjn9EeWJaxK5AT4frw&productType=course&showMiniModal=true
Data Analysis with Python,Data Science,IBM,12,4.659047358335615,67376,7306,Beginner,https://www.coursera.org/learn/data-analysis-with-python,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=fYuElDEgEeiCvhLLCIZW_A&productType=course&showMiniModal=true
Python for Data Science and AI,Data Science,IBM,12,4.617804855869783,104701,10997,Beginner,https://www.coursera.org/learn/python-for-applied-data-science-ai,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=ejOz7RDUEei99hK0xs-tsg&productType=course&showMiniModal=true
Databases and SQL for Data Science,Data Science,IBM,13,4.668094496365525,75763,7704,Beginner,https://www.coursera.org/learn/sql-data-science,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=GDQMSxDWEeitFhJL4G-A_g&productType=course&showMiniModal=true
SQL for Data Science,Data Science,"University of California, Davis",20,4.588652482269503,126834,3102,Beginner,https://www.coursera.org/learn/sql-for-data-science,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=_8FRmSXkEeeCDQ44DPGlIA&productType=course&showMiniModal=true
Database Management Essentials,"Data Science, Korean Selection, Chinese Selection",University of Colorado System,28,4.56629213483146,94085,1780,Intermediate,https://www.coursera.org/learn/database-management,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=qLFYrxnoEeWwrBKfKrqlSQ&productType=course&showMiniModal=true
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Data Science,Yandex,45,4.009685230024213,32587,413,Intermediate,https://www.coursera.org/learn/big-data-essentials,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=rGvvNYvcEeeFJw6thnHvMg&productType=course&showMiniModal=true
"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Data Science,Yandex,70,4.061224489795919,14252,147,Advanced,https://www.coursera.org/learn/big-data-analysis,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=IjR5zAPzEees5g6zeYMKiA&productType=course&showMiniModal=true
Big Data Applications: Machine Learning at Scale,Data Science,Yandex,75,3.789473684210526,7476,76,Advanced,https://www.coursera.org/learn/machine-learning-applications-big-data,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=R6v_WgPzEeeM0BKxT3Q-dg&productType=course&showMiniModal=true
Big Data Applications: Machine Learning at Scale,Data Science,Yandex,75,3.789473684210526,7476,76,Advanced,https://www.coursera.org/learn/machine-learning-applications-big-data,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=R6v_WgPzEeeM0BKxT3Q-dg&productType=course&showMiniModal=true
Big Data Services: Capstone Project,Data Science,Yandex,5,,1073,0,Advanced,https://www.coursera.org/learn/big-data-services,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=D3SOzp_qEeeVNQoXzORFvg&productType=course&showMiniModal=true
Fundamentals of Visualization with Tableau,Data Science,"University of California, Davis",10,4.456230690010298,65175,2913,Beginner,https://www.coursera.org/learn/data-visualization-tableau,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=VuRXs3EiEeWrAxJQXw-8PQ&productType=course&showMiniModal=true
Essential Design Principles for Tableau,Data Science,"University of California, Davis",14,4.457094307561597,22540,1177,Beginner,https://www.coursera.org/learn/dataviz-design,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=f6s8aXQ3EeWIfhKr_WcYsQ&productType=course&showMiniModal=true
Visual Analytics with Tableau,Data Science,"University of California, Davis",11,4.549323017408124,20537,1034,Beginner,https://www.coursera.org/learn/dataviz-visual-analytics,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=xJrJ5XQ3EeWLqw7zlLhRzQ&productType=course&showMiniModal=true
Creating Dashboards and Storytelling with Tableau,Data Science,"University of California, Davis",19,4.629695885509839,18154,559,Beginner,https://www.coursera.org/learn/dataviz-dashboards,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=1Ik-_RC4EeaRgQ4evS8KlQ&productType=course&showMiniModal=true
Data Visualization,Data Science,University of Illinois at Urbana-Champaign,15,4.470183486238532,67259,872,Mixed,https://www.coursera.org/learn/datavisualization,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=IXfI4OuZEeWTQApGcKeRIQ&productType=course&showMiniModal=true
Introduction to Deep Learning,Data Science,National Research University Higher School of Economics,35,4.610619469026549,55893,1243,Advanced,https://www.coursera.org/learn/intro-to-deep-learning,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=pNXe13ICEeeBKg4MjLYj6A&productType=course&showMiniModal=true
How to Win a Data Science Competition: Learn from Top Kagglers,Data Science,National Research University Higher School of Economics,46,4.727155727155727,52438,777,Advanced,https://www.coursera.org/learn/competitive-data-science,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=Mz1ninIDEeeWCg71xNIlJg&productType=course&showMiniModal=true
Bayesian Methods for Machine Learning,Data Science,National Research University Higher School of Economics,38,4.582251082251083,32085,462,Advanced,https://www.coursera.org/learn/bayesian-methods-in-machine-learning,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=anas83IDEeenOwpmZ1LH1g&productType=course&showMiniModal=true
Practical Reinforcement Learning,Data Science,National Research University Higher School of Economics,38,4.145762711864407,24086,295,Advanced,https://www.coursera.org/learn/practical-rl,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=Ni9w_INfEeetQwoqGsZceA&productType=course&showMiniModal=true
Deep Learning in Computer Vision,Data Science,National Research University Higher School of Economics,23,3.785714285714286,25512,182,Advanced,https://www.coursera.org/learn/deep-learning-in-computer-vision,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=bkBQ-oNfEeenGxKEO5UIKA&productType=course&showMiniModal=true
Natural Language Processing,Data Science,National Research University Higher School of Economics,34,4.581481481481482,48713,540,Advanced,https://www.coursera.org/learn/language-processing,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=3mn50&currentTab=CATALOG&productId=blRLgKLDEeeMNA6V0QN2ag&productType=course&showMiniModal=true
