Name,AXA Category,Organiser,Length (Hours),Avg. User Rating,Total Enrollments,Total Ratings,Difficulty,Public URL,AXA URL
La gestión de personas y equipos,"New Courses, Spanish Selection",IESE Business School,14,4.751196172248804,17607,418,Beginner,https://www.coursera.org/learn/gestion-personas-equipos,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=grmjR92yEeaJ4g5huBPuvg&productType=course&showMiniModal=true
La gestión en la empresa familiar,"New Courses, Spanish Selection",ESADE Business and Law School,18,4.774647887323944,3424,71,Beginner,https://www.coursera.org/learn/gestion-empresa-familiar,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=ADKu-ekTEeWl3Ar51JT4fQ&productType=course&showMiniModal=true
Las estrategias y habilidades para las negociaciones,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,7,4.642857142857143,12634,84,Mixed,https://www.coursera.org/learn/estrategias-negociacion,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=bpULWbWpEeWbNBLZhfEI2Q&productType=course&showMiniModal=true
Las redes sociales en acción,"New Courses, Spanish Selection",Tecnológico de Monterrey,9,4.539568345323741,13602,278,Mixed,https://www.coursera.org/learn/red-social,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=dNnOEjfZEeWO-Qq6rEZAow&productType=course&showMiniModal=true
Liderazgo para el Siglo XXI: proyecto final,"New Courses, Spanish Selection",Universidad de los Andes,9,4.86,1362,50,Intermediate,https://www.coursera.org/learn/liderazgo,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=UXIWR-xTEeWaMA7Pe7xMzw&productType=course&showMiniModal=true
Los obstáculos y la conducción en las negociaciones,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,6,4.681818181818182,4194,66,Mixed,https://www.coursera.org/learn/negociacion-proceso,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=xAUa37WoEeW-DxJ4SAJAhQ&productType=course&showMiniModal=true
Marketing en Redes Sociales Proyecto Final,"New Courses, Spanish Selection",Tecnológico de Monterrey,12,4.619047619047619,427,21,Mixed,https://www.coursera.org/learn/redes-sociales-proyecto,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=621xKWGJEeW6VxKdzz12nw&productType=course&showMiniModal=true
Marketing estratégico: claves para competir con éxito,"New Courses, Spanish Selection",IESE Business School,16,4.818532818532819,9166,259,Beginner,https://www.coursera.org/learn/marketing-estrategico-competir-con-exito,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=bD3M_t2PEeaBfwqXxAmUrg&productType=course&showMiniModal=true
Marketing Gerencial,"New Courses, Spanish Selection",Universidad de Chile,8,4.764982373678026,33655,851,Intermediate,https://www.coursera.org/learn/marketing-gerencial,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=JKQGR1UHEea4Zwq5JsP8XQ&productType=course&showMiniModal=true
Matemáticas financieras,"New Courses, Spanish Selection",Universidad Nacional Autónoma de México,10,4.726190476190476,10986,336,Intermediate,https://www.coursera.org/learn/matematicas,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=SV_hEA5YEeaX4g6xdats6w&productType=course&showMiniModal=true
Mi nueva empresa: los siguientes pasos,"New Courses, Spanish Selection",Universidad de los Andes,12,4.5,104,2,Beginner,https://www.coursera.org/learn/nueva-empresa,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=ugpNeo7_EeWrHRI1nVMcyw&productType=course&showMiniModal=true
Modelos de empresa familiar: del capitán al grupo inversor,"New Courses, Spanish Selection",ESADE Business and Law School,10,4.75,1110,36,Intermediate,https://www.coursera.org/learn/modelos-de-empresa-familiar,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=ezldv&currentTab=CATALOG&productId=fPUCCekTEeWKRxKwtxIxgw&productType=course&showMiniModal=true
